Experiments,r1,r2,r3,r4,r5,r6,r7,x1,x2,p
Exp_0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.39473684210526316,0.0,0.0
Exp_1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.21052631578947367,-0.1842105263157895,0.0
Exp_2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18421052631578946,-0.3157894736842105,0.0
Exp_3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.07894736842105263,-0.15789473684210528,0.0
Exp_4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.368421052631579,-0.13157894736842105,0.0
Exp_5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18421052631578946,0.2105263157894737,0.0
Exp_6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02631578947368418,-0.10526315789473684,0.0
Exp_7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.13157894736842107,-0.15789473684210525,0.0
Exp_8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842,0.2368421052631579,0.0
Exp_9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2894736842105263,-0.15789473684210525,0.0
Exp_10,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.10526315789473684,0.1842105263157895,0.0
Exp_11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2631578947368421,-0.0789473684210526,0.0
Exp_12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28947368421052627,-0.15789473684210525,0.0
Exp_13,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-2.7755575615628914e-17,0.3421052631578947,0.0
Exp_14,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.026315789473684237,0.47368421052631576,0.0
Exp_15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.39473684210526316,0.05263157894736842,0.0
Exp_16,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.34210526315789475,0.15789473684210525,0.0
Exp_17,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0789473684210526,0.15789473684210525,0.0
Exp_18,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13157894736842105,-0.15789473684210528,0.0
Exp_19,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02631578947368418,-0.21052631578947367,0.0
Exp_20,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.39473684210526316,0.0,0.0
Exp_21,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21052631578947367,-0.1842105263157895,0.0
Exp_22,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.18421052631578946,-0.3157894736842105,0.0
Exp_23,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.07894736842105263,-0.15789473684210528,0.0
Exp_24,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.368421052631579,-0.13157894736842105,0.0
Exp_25,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.18421052631578946,0.2105263157894737,0.0
Exp_26,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02631578947368418,-0.10526315789473684,0.0
Exp_27,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.13157894736842107,-0.15789473684210525,0.0
Exp_28,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05263157894736842,0.2368421052631579,0.0
Exp_29,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.2894736842105263,-0.15789473684210525,0.0
Exp_30,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.10526315789473684,0.1842105263157895,0.0
Exp_31,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2631578947368421,-0.0789473684210526,0.0
Exp_32,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.28947368421052627,-0.15789473684210525,0.0
Exp_33,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-2.7755575615628914e-17,0.3421052631578947,0.0
Exp_34,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.026315789473684237,0.47368421052631576,0.0
Exp_35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.39473684210526316,0.05263157894736842,0.0
Exp_36,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.34210526315789475,0.15789473684210525,0.0
Exp_37,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0789473684210526,0.15789473684210525,0.0
Exp_38,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.13157894736842105,-0.15789473684210528,0.0
Exp_39,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02631578947368418,-0.21052631578947367,0.0
Exp_40,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.39473684210526316,0.0,0.0
Exp_41,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.21052631578947367,-0.1842105263157895,0.0
Exp_42,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.18421052631578946,-0.3157894736842105,0.0
Exp_43,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.07894736842105263,-0.15789473684210528,0.0
Exp_44,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.368421052631579,-0.13157894736842105,0.0
Exp_45,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.18421052631578946,0.2105263157894737,0.0
Exp_46,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02631578947368418,-0.10526315789473684,0.0
Exp_47,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.13157894736842107,-0.15789473684210525,0.0
Exp_48,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.05263157894736842,0.2368421052631579,0.0
Exp_49,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.2894736842105263,-0.15789473684210525,0.0
Exp_50,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.10526315789473684,0.1842105263157895,0.0
Exp_51,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2631578947368421,-0.0789473684210526,0.0
Exp_52,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.28947368421052627,-0.15789473684210525,0.0
Exp_53,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-2.7755575615628914e-17,0.3421052631578947,0.0
Exp_54,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.026315789473684237,0.47368421052631576,0.0
Exp_55,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.39473684210526316,0.05263157894736842,0.0
Exp_56,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.34210526315789475,0.15789473684210525,0.0
Exp_57,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0789473684210526,0.15789473684210525,0.0
Exp_58,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.13157894736842105,-0.15789473684210528,0.0
Exp_59,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02631578947368418,-0.21052631578947367,0.0
Exp_60,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.39473684210526316,0.0,0.0
Exp_61,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.21052631578947367,-0.1842105263157895,0.0
Exp_62,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.18421052631578946,-0.3157894736842105,0.0
Exp_63,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.07894736842105263,-0.15789473684210528,0.0
Exp_64,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.368421052631579,-0.13157894736842105,0.0
Exp_65,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.18421052631578946,0.2105263157894737,0.0
Exp_66,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.02631578947368418,-0.10526315789473684,0.0
Exp_67,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.13157894736842107,-0.15789473684210525,0.0
Exp_68,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05263157894736842,0.2368421052631579,0.0
Exp_69,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.2894736842105263,-0.15789473684210525,0.0
Exp_70,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.10526315789473684,0.1842105263157895,0.0
Exp_71,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2631578947368421,-0.0789473684210526,0.0
Exp_72,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.28947368421052627,-0.15789473684210525,0.0
Exp_73,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-2.7755575615628914e-17,0.3421052631578947,0.0
Exp_74,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.026315789473684237,0.47368421052631576,0.0
Exp_75,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.39473684210526316,0.05263157894736842,0.0
Exp_76,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.34210526315789475,0.15789473684210525,0.0
Exp_77,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0789473684210526,0.15789473684210525,0.0
Exp_78,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.13157894736842105,-0.15789473684210528,0.0
Exp_79,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.02631578947368418,-0.21052631578947367,0.0
Exp_80,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.39473684210526316,0.0,0.0
Exp_81,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.21052631578947367,-0.1842105263157895,0.0
Exp_82,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.18421052631578946,-0.3157894736842105,0.0
Exp_83,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.07894736842105263,-0.15789473684210528,0.0
Exp_84,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.368421052631579,-0.13157894736842105,0.0
